title,countNcd,meanNcd,stdNcd,medianNcd,class,isPerl
"a2p.c",135,0.96,0.04,0.98,c,False
"a2py.c",135,0.94,0.04,0.95,c,False
"adler32.c",135,0.93,0.05,0.95,c,False
"av.c",135,0.94,0.03,0.95,c,False
"blocksort.c",135,0.94,0.04,0.94,c,False
"bzlib.c",135,0.94,0.04,0.95,c,False
"CLIBstuf.c",135,0.92,0.07,0.95,c,False
"compress.c",135,0.93,0.03,0.94,c,False
"crc32.c",135,0.94,0.03,0.94,c,False
"crctable.c",135,0.99,0.02,0.99,c,False
"cygwin.c",135,0.94,0.03,0.94,c,False
"dbe.c",135,0.95,0.04,0.96,c,False
"dbu.c",135,0.95,0.03,0.95,c,False
"decompress.c",135,0.93,0.04,0.94,c,False
"deflate.c",135,0.93,0.04,0.93,c,False
"doop.c",135,0.94,0.03,0.94,c,False
"dump.c",135,0.93,0.03,0.94,c,False
"echo.c",135,0.94,0.04,0.95,c,False
"encengine.c",135,0.94,0.03,0.94,c,False
"fcrypt.c",135,0.96,0.03,0.97,c,False
"globals.c",135,0.94,0.03,0.94,c,False
"gv.c",135,0.94,0.03,0.95,c,False
"hash.c",135,0.94,0.03,0.95,c,False
"huffman.c",135,0.93,0.06,0.95,c,False
"infback.c",135,0.92,0.05,0.94,c,False
"inffast.c",135,0.93,0.05,0.94,c,False
"inflate.c",135,0.93,0.04,0.93,c,False
"inftrees.c",135,0.94,0.04,0.94,c,False
"interface.c",135,0.93,0.04,0.94,c,False
"Main.c",135,0.94,0.03,0.94,c,False
"module2.c",135,0.93,0.04,0.93,c,False
"module3.c",135,0.93,0.04,0.94,c,False
"mro.c",135,0.94,0.03,0.95,c,False
"munchconfig.c",135,0.93,0.04,0.93,c,False
"nw5.c",135,0.95,0.03,0.95,c,False
"nw5sck.c",135,0.93,0.05,0.96,c,False
"nw5thread.c",135,0.93,0.04,0.93,c,False
"Nwmain.c",135,0.94,0.04,0.94,c,False
"nwperlsys.c",135,0.94,0.04,0.95,c,False
"Nwpipe.c",135,0.94,0.03,0.95,c,False
"nwplglob.c",135,0.94,0.04,0.94,c,False
"NWTInfo.c",135,0.93,0.04,0.94,c,False
"NWUtil.c",135,0.94,0.04,0.94,c,False
"op.c",135,0.94,0.03,0.95,c,False
"pair.c",135,0.95,0.04,0.95,c,False
"perlglob.c",135,0.94,0.03,0.94,c,False
"perlio.c",135,0.94,0.04,0.95,c,False
"perllib.c",135,0.94,0.04,0.94,c,False
"perlmaince.c",135,0.92,0.04,0.93,c,False
"plan9.c",135,0.93,0.06,0.95,c,False
"pp_hot.c",135,0.94,0.03,0.94,c,False
"pp_pack.c",135,0.93,0.03,0.94,c,False
"pp_sort.c",135,0.93,0.03,0.94,c,False
"pp_sys.c",135,0.94,0.03,0.95,c,False
"qnx.c",135,0.91,0.07,0.94,c,False
"randtable.c",135,0.93,0.04,0.93,c,False
"reentr.c",135,0.93,0.05,0.94,c,False
"regexec.c",135,0.93,0.05,0.94,c,False
"runperl.c",135,0.92,0.04,0.93,c,False
"scope.c",135,0.95,0.03,0.95,c,False
"sdbm.c",135,0.94,0.03,0.95,c,False
"sha64bit.c",135,0.99,0.02,0.99,c,False
"sha.c",135,0.95,0.05,0.98,c,False
"str.c",135,0.94,0.03,0.95,c,False
"sv.c",135,0.95,0.03,0.95,c,False
"sv_nw.c",135,0.92,0.06,0.95,c,False
"taint.c",135,0.94,0.03,0.95,c,False
"time64.c",135,0.93,0.04,0.94,c,False
"timecheck2.c",135,0.93,0.05,0.94,c,False
"timecheck.c",135,0.94,0.04,0.94,c,False
"toke.c",135,0.94,0.03,0.95,c,False
"trees.c",135,0.94,0.03,0.94,c,False
"type.c",135,0.95,0.03,0.95,c,False
"uncompr.c",135,0.94,0.03,0.94,c,False
"utf8.c",135,0.94,0.03,0.94,c,False
"util.c",135,0.94,0.04,0.95,c,False
"version.c",135,0.93,0.04,0.93,c,False
"vms.c",135,0.94,0.04,0.94,c,False
"walk.c",135,0.94,0.04,0.95,c,False
"win32.c",135,0.94,0.04,0.94,c,False
"win32ceio.c",135,0.93,0.04,0.93,c,False
"Win32CORE.c",135,0.93,0.03,0.94,c,False
"win32io.c",135,0.94,0.03,0.94,c,False
"win32sck.c",135,0.93,0.04,0.94,c,False
"win32thread.c",135,0.91,0.06,0.94,c,False
"wince.c",135,0.94,0.04,0.95,c,False
"wincesck.c",135,0.93,0.06,0.95,c,False
"zutil.c",135,0.93,0.04,0.94,c,False
"add-package.pl",135,0.92,0.04,0.93,perl,True
"aix.pl",135,0.91,0.05,0.92,perl,True
